group,subgroup,category,year,key,value
Männer,15-24-jährig,problems_sleep,1997,none_light,0.79979
Männer,25-34-jährig,problems_sleep,1997,none_light,0.82832
Männer,35-44-jährig,problems_sleep,1997,none_light,0.78779
Männer,45-54-jährig,problems_sleep,1997,none_light,0.7533
Männer,55-64-jährig,problems_sleep,1997,none_light,0.66034
Männer,65-74-jährig,problems_sleep,1997,none_light,0.66948
Männer,75+-jährig,problems_sleep,1997,none_light,0.6182
Frauen,15-24-jährig,problems_sleep,1997,none_light,0.77519
Frauen,25-34-jährig,problems_sleep,1997,none_light,0.7868200000000001
Frauen,35-44-jährig,problems_sleep,1997,none_light,0.7492700000000001
Frauen,45-54-jährig,problems_sleep,1997,none_light,0.6703199999999999
Frauen,55-64-jährig,problems_sleep,1997,none_light,0.57971
Frauen,65-74-jährig,problems_sleep,1997,none_light,0.55189
Frauen,75+-jährig,problems_sleep,1997,none_light,0.54102
Männer,15-24-jährig,problems_sleep,1997,medium,0.18885000000000002
Männer,25-34-jährig,problems_sleep,1997,medium,0.14656
Männer,35-44-jährig,problems_sleep,1997,medium,0.17251000000000002
Männer,45-54-jährig,problems_sleep,1997,medium,0.20523
Männer,55-64-jährig,problems_sleep,1997,medium,0.28573
Männer,65-74-jährig,problems_sleep,1997,medium,0.29236
Männer,75+-jährig,problems_sleep,1997,medium,0.29795
Frauen,15-24-jährig,problems_sleep,1997,medium,0.19687000000000002
Frauen,25-34-jährig,problems_sleep,1997,medium,0.17568999999999999
Frauen,35-44-jährig,problems_sleep,1997,medium,0.20513
Frauen,45-54-jährig,problems_sleep,1997,medium,0.26056999999999997
Frauen,55-64-jährig,problems_sleep,1997,medium,0.33390000000000003
Frauen,65-74-jährig,problems_sleep,1997,medium,0.35271
Frauen,75+-jährig,problems_sleep,1997,medium,0.37341
Männer,15-24-jährig,problems_sleep,1997,pathological,0.011359999999999999
Männer,25-34-jährig,problems_sleep,1997,pathological,0.02512
Männer,35-44-jährig,problems_sleep,1997,pathological,0.0397
Männer,45-54-jährig,problems_sleep,1997,pathological,0.04147
Männer,55-64-jährig,problems_sleep,1997,pathological,0.05394
Männer,65-74-jährig,problems_sleep,1997,pathological,0.03816
Männer,75+-jährig,problems_sleep,1997,pathological,0.08385
Frauen,15-24-jährig,problems_sleep,1997,pathological,0.02794
Frauen,25-34-jährig,problems_sleep,1997,pathological,0.0375
Frauen,35-44-jährig,problems_sleep,1997,pathological,0.04561
Frauen,45-54-jährig,problems_sleep,1997,pathological,0.06910999999999999
Frauen,55-64-jährig,problems_sleep,1997,pathological,0.08638
Frauen,65-74-jährig,problems_sleep,1997,pathological,0.09539999999999998
Frauen,75+-jährig,problems_sleep,1997,pathological,0.08557000000000001
Männer,15-24-jährig,problems_sleep,2002,none_light,0.8459399999999999
Männer,25-34-jährig,problems_sleep,2002,none_light,0.83467
Männer,35-44-jährig,problems_sleep,2002,none_light,0.79393
Männer,45-54-jährig,problems_sleep,2002,none_light,0.74279
Männer,55-64-jährig,problems_sleep,2002,none_light,0.6819799999999999
Männer,65-74-jährig,problems_sleep,2002,none_light,0.66719
Männer,75+-jährig,problems_sleep,2002,none_light,0.61011
Frauen,15-24-jährig,problems_sleep,2002,none_light,0.7347
Frauen,25-34-jährig,problems_sleep,2002,none_light,0.72918
Frauen,35-44-jährig,problems_sleep,2002,none_light,0.75569
Frauen,45-54-jährig,problems_sleep,2002,none_light,0.6895699999999999
Frauen,55-64-jährig,problems_sleep,2002,none_light,0.61163
Frauen,65-74-jährig,problems_sleep,2002,none_light,0.59393
Frauen,75+-jährig,problems_sleep,2002,none_light,0.57145
Männer,15-24-jährig,problems_sleep,2002,medium,0.13397
Männer,25-34-jährig,problems_sleep,2002,medium,0.14109
Männer,35-44-jährig,problems_sleep,2002,medium,0.17717
Männer,45-54-jährig,problems_sleep,2002,medium,0.20811
Männer,55-64-jährig,problems_sleep,2002,medium,0.26068
Männer,65-74-jährig,problems_sleep,2002,medium,0.27972
Männer,75+-jährig,problems_sleep,2002,medium,0.32677
Frauen,15-24-jährig,problems_sleep,2002,medium,0.2231
Frauen,25-34-jährig,problems_sleep,2002,medium,0.22515000000000002
Frauen,35-44-jährig,problems_sleep,2002,medium,0.20157
Frauen,45-54-jährig,problems_sleep,2002,medium,0.23693999999999998
Frauen,55-64-jährig,problems_sleep,2002,medium,0.29829
Frauen,65-74-jährig,problems_sleep,2002,medium,0.33241
Frauen,75+-jährig,problems_sleep,2002,medium,0.36893
Männer,15-24-jährig,problems_sleep,2002,pathological,0.02009
Männer,25-34-jährig,problems_sleep,2002,pathological,0.024239999999999998
Männer,35-44-jährig,problems_sleep,2002,pathological,0.028900000000000002
Männer,45-54-jährig,problems_sleep,2002,pathological,0.049089999999999995
Männer,55-64-jährig,problems_sleep,2002,pathological,0.05734
Männer,65-74-jährig,problems_sleep,2002,pathological,0.05309
Männer,75+-jährig,problems_sleep,2002,pathological,0.06312000000000001
Frauen,15-24-jährig,problems_sleep,2002,pathological,0.042199999999999994
Frauen,25-34-jährig,problems_sleep,2002,pathological,0.04566
Frauen,35-44-jährig,problems_sleep,2002,pathological,0.04274
Frauen,45-54-jährig,problems_sleep,2002,pathological,0.07349
Frauen,55-64-jährig,problems_sleep,2002,pathological,0.09008
Frauen,65-74-jährig,problems_sleep,2002,pathological,0.07366
Frauen,75+-jährig,problems_sleep,2002,pathological,0.05962
Männer,15-24-jährig,problems_sleep,2007,none_light,0.8803700000000001
Männer,25-34-jährig,problems_sleep,2007,none_light,0.8319
Männer,35-44-jährig,problems_sleep,2007,none_light,0.79217
Männer,45-54-jährig,problems_sleep,2007,none_light,0.76141
Männer,55-64-jährig,problems_sleep,2007,none_light,0.6973600000000001
Männer,65-74-jährig,problems_sleep,2007,none_light,0.6846800000000001
Männer,75+-jährig,problems_sleep,2007,none_light,0.66719
Frauen,15-24-jährig,problems_sleep,2007,none_light,0.7400199999999999
Frauen,25-34-jährig,problems_sleep,2007,none_light,0.7578100000000001
Frauen,35-44-jährig,problems_sleep,2007,none_light,0.76267
Frauen,45-54-jährig,problems_sleep,2007,none_light,0.7149599999999999
Frauen,55-64-jährig,problems_sleep,2007,none_light,0.64381
Frauen,65-74-jährig,problems_sleep,2007,none_light,0.60106
Frauen,75+-jährig,problems_sleep,2007,none_light,0.52115
Männer,15-24-jährig,problems_sleep,2007,medium,0.11321999999999999
Männer,25-34-jährig,problems_sleep,2007,medium,0.11483
Männer,35-44-jährig,problems_sleep,2007,medium,0.16954999999999998
Männer,45-54-jährig,problems_sleep,2007,medium,0.17257
Männer,55-64-jährig,problems_sleep,2007,medium,0.22628
Männer,65-74-jährig,problems_sleep,2007,medium,0.25342
Männer,75+-jährig,problems_sleep,2007,medium,0.26828
Frauen,15-24-jährig,problems_sleep,2007,medium,0.20965
Frauen,25-34-jährig,problems_sleep,2007,medium,0.1909
Frauen,35-44-jährig,problems_sleep,2007,medium,0.16151
Frauen,45-54-jährig,problems_sleep,2007,medium,0.18866
Frauen,55-64-jährig,problems_sleep,2007,medium,0.24037
Frauen,65-74-jährig,problems_sleep,2007,medium,0.31461
Frauen,75+-jährig,problems_sleep,2007,medium,0.38139
Männer,15-24-jährig,problems_sleep,2007,pathological,0.00641
Männer,25-34-jährig,problems_sleep,2007,pathological,0.05328
